"internal_taxon_id","credit_type","firstName","lastName","initials","Order","email","affiliation","user_id"
"766791-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"140342-2","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"854920-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"854710-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"443432-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"270918-2","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"319128-2","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"319348-2","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"397065-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"836997-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"323180-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"131108-2","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"609775-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"561095-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"312160-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"1103484-2","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"856750-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"1182077-2","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"60458018-2","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"70559-2","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"304222-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"79450-2","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"673038-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"30121490-2","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"805524-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"328550-2","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"181506-2","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"675096-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"196799-2","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"685785-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"457230-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"459074-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"157913-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"541314-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"849121-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"767016-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"242811-2","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"120998-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"857732-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"769659-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"77103945-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"337150-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"13112-2","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"319092-2","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"118574-3","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
"297578-1","Assessor","Your first name","Your last name","","1","Your email","Your affiliation","1"
